Comment,Designator,Footprint,LCSC
1u,C1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
10u,C2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
100u,C3,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
100n,"C4,C5,C6,C12",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
10u,C7,Capacitor_SMD:CP_Elec_5x5.4,C335978
2.2u,"C8,C9,C10,C11,C13,C14",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49217
AudioJack4,J1,lib_fb:TRRS-PJ-320A-Jack,
Raspberry_Pi_Zero,J2,lib_fb:Raspberry_Pi_Zero,
1.7k,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17395
3.3k,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010
470,"R3,R4",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710
SW_SPST,"SKIP_PREV1,OMNI1,VOL_DOWN1,PLAY_PAUSE1,SKIP_NEXT1,VOL_UP1",Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,
TPS73133DBV,U1,Package_TO_SOT_SMD:SOT-23-5,
PCM5102,U2,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,
