Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.800000,-139.700000,0.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.800000,-136.500000,0.000000,top
"C3","100u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.900000,-133.400000,0.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.600000,-131.700000,0.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.600000,-137.000000,180.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.300000,-128.500000,0.000000,top
"C7","10u","CP_Elec_5x5.4",157.800000,-133.500000,180.000000,top
"C8","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.100000,-128.500000,0.000000,top
"C9","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.700000,-128.500000,180.000000,top
"C10","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.100000,-125.700000,0.000000,top
"C11","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.700000,-125.700000,180.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.600000,-139.500000,180.000000,top
"C13","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.300000,-125.700000,180.000000,top
"C14","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.300000,-128.500000,180.000000,top
"R1","1.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.100000,-135.700000,180.000000,top
"R2","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.100000,-132.900000,180.000000,top
"R3","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.000000,-125.700000,180.000000,top
"R4","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.000000,-128.500000,180.000000,top
"U1","TPS73133DBV","SOT-23-5",184.300000,-136.400000,180.000000,top
"U2","PCM5102","TSSOP-20_4.4x6.5mm_P0.65mm",172.400000,-134.200000,270.000000,top
